,Datetime,Tweet Id,Text,Username,label
74,2022-02-21 23:57:29+00:00,1495910579726393345,"When will life return to normal?” This is the question we scientists in Singapore, and experts around the world studying COVID-19, are almost always … https://t.co/OLDbHqDkKI",FrankGerechter,1
80,2022-02-21 23:57:24+00:00,1495910559539412998,And again for those who didn’t hear the first time. #covid19 #springst,jvedmond,1
87,2022-02-21 23:57:10+00:00,1495910500395360258,#NEW - Trinidad &amp; Tobago Attorney General Faris Al-Rawi tests positive for COVID-19; will continue to execute his duties as he remains in quarantine https://t.co/PSguwuMU4M,KevzPolitics,1
94,2022-02-21 23:57:00+00:00,1495910459047911424,These assholes are hiding the information. CDC Isn't Publishing Large Portions of the COVID-19 Data It Collects https://t.co/C6MpuTchgk,icklemetickleme,1
101,2022-02-21 23:56:50+00:00,1495910415049580546,"We are so sorry to the families and loved ones of the two people who have died as a result of COVID-19. 

Please see below for today's full update.",FureyAndrew,1
104,2022-02-21 23:56:47+00:00,1495910404861661191,"@BorisJohnson Although the rate of infection in the UK is decreasing, the number of deaths is still increasing, and near the peak. The premise is that there is no new COVID-19 mutation. But with the current infection rate... The new mutation should be on the way.",CaiTank,1
106,2022-02-21 23:56:43+00:00,1495910384728956931,"@EddyElfenbein The benefits deriving from social distancing may be the commonality, but otherwise it's not that far of a leap from COVID-19 to SLAVIC-22",TheAcsMan,1
128,2022-02-21 23:56:03+00:00,1495910220828188680,"The Supreme Court decided not to intervene–for the time being—in the case of a San Diego high school student with natural immunity, who claims that the local school district’s COVID-19 vaccination mandate imposed on students aged 16 and older  # # # #

https://t.co/hdJGrcHNjt",izzorv6,1
129,2022-02-21 23:56:01+00:00,1495910208480153603,"🚨UPDATED VAX SCHEDULE 02/21-02/27🚨#Covid vaccinations &amp; boosters for everyone over age 5 available in #Newark, #OrangeNJ and #Belleville. No appointment necessary!

Free Covid-19 testing available every Monday at 202 First Street, Newark from 3:15pm-6pm! https://t.co/rweg2HwVSc",LaCasaNwk,1
131,2022-02-21 23:55:59+00:00,1495910202318950400,"@Robertamnesia @donald_j_putin If the Wuhan Institute of Virology had been able to implant a reverse transcriptase enzyme into the first Covid-19 then it would have become a retrovirus like H.I.V. Imagine a virulent, highly contagious disease that is transmitted by droplets. That's the real Doomsday scenario.",StephenCrane71,1
134,2022-02-21 23:55:53+00:00,1495910178952253446,"The medical profession endorsed the #slavemask, lockdowns, social distancing, but no viable medical treatments for Covid-19. What do doctors know, medicine?",JackKnifeJockey,1
138,2022-02-21 23:55:46+00:00,1495910147167768578,"@nzekiev Currently home,covid-19 spoilt alot of things.
But you see their full names,I go find am. If na city,I know the cities.",EnyiiMmiri,1
139,2022-02-21 23:55:45+00:00,1495910142856081410,"Presidente @NitoCortizo: Llevemos a nuestros niños a recibir su dosis de esperanza, es vital estar protegidos para el regreso clases. 

Estamos habilitando esta semana los 19 centros de salud de Panamá Centro, para la aplicación de la vacuna contra el #COVID19. https://t.co/kZ6Y7fu4MV",radiopanama,1
140,2022-02-21 23:55:42+00:00,1495910129208033281,Covid-19: High court asks Maharashtra government to withdraw order on train travel curbs https://t.co/uLJRjFDNzC,TOICitiesNews,1
141,2022-02-21 23:55:41+00:00,1495910124581494789,"COVID-19 &amp; HEALTH
Nearly one out of every 715 people in the US died from coronavirus in 2021. That's 464,000 people.
#COVID19USDeathsRace  
https://t.co/8kmMcLo381 https://t.co/fuFucz9YDx",bettycjung,1
152,2022-02-21 23:55:16+00:00,1495910022106296326,"@jainecurley @ThePhoenix7878 @sidibongo @bhav_shah1 @chrischirp Err it doesn't.  Today's data shows 335 people in ICU and 11,223 people were in hospital with Covid19. In England up to 57% of patients with Covid are primarily in for other reasons. In Wales it is around 75%.",RobertsonG,1
156,2022-02-21 23:55:09+00:00,1495909991110356995,You gotta love Hawaii. It is the only state holding onto its mask mandate. Forty-nine states have announced plans to drop their indoor mask mandates as COVID-19 cases and hospitalizations steadily decline. We’ve been on this ride before. Bleh.,B52Malmet,1
160,2022-02-21 23:55:00+00:00,1495909955794264064,"Mensaje del Secretario General de la ONU en el Día Mundial de Concienciación sobre el Autismo 2021 

Al trabajar juntos para recuperarnos de la pandemia de COVID-19, debemos fijarnos un objetivo clave, a saber, la construcción de un mundo #Autismo https://t.co/2IPRbZtl1D https://t.co/X3tGYBgsWr",AutismoDiario,1
161,2022-02-21 23:55:00+00:00,1495909953562947586,"#PREVENCIÓN😷| La variante Ómicron del coronavirus causante de la COVID-19 se ha detectado ya en 110 países, y continúa propagándose de forma exponencial. No bajes la guardia y mantén el distanciamiento social. 
  
¡Sabemos cómo hacerlo!   
¡Cuidémonos!

#21Feb https://t.co/Yd2XLNQAFE",VTVcanal8,1
163,2022-02-21 23:54:59+00:00,1495909949561442307,The Science Behind Why Children Fare Better With Covid-19 - The Wall Street Journal https://t.co/gxoYGlpKcT,diseasesociety,1
164,2022-02-21 23:54:56+00:00,1495909936357953538,"(4) Covid-19 led to a sizeable decline in labor supply which, somewhat stubbornly, doesn't fully recover. The business press calls this the Great Resignation. It's a big deal, also for our expectations about what inflation is doing, but we don't fully understand reasons yet.",BachmannRudi,1
167,2022-02-21 23:54:54+00:00,1495909929781190661,"My flight to Emirates Stadium will be confirmed if there will be Zero cases of COVID  :) :)  
""Boris Johnson announces end of almost all COVID-19 restrictions in England""  https://t.co/csoKxI9FTz welcome the Brits",WondeYirga,1
177,2022-02-21 23:54:44+00:00,1495909886894698496,Covid-19: Confirmed cases grow amongst Christchurch schools https://t.co/ryQw6iSDWD,kabynzara,1
191,2022-02-21 23:54:19+00:00,1495909780904624130,The latest The EU Daily! https://t.co/2SUmEpNStQ Thanks to @ecb @eu_near @EUCouncil #icymi #covid19,1seahorse1,1
194,2022-02-21 23:54:15+00:00,1495909765746147336,https://t.co/8MKZkEO1AT UK PM Boris Johnson is planning to announce the end to all COVID-19 restrictions in the country on Monday. It won't change public opinion about this clown who partied during the strict country's lockdown. Brits deserve a better PM! #FBJ &amp; #FJB,tatianycoeuvre,1
198,2022-02-21 23:54:10+00:00,1495909743906463749,"Segundo o estudo da ONU ""Além da COVID-19: um plano feminista pela sustentabilidade e justiça social"", cerca de 47 milhões de mulheres passaram a viver em extrema pobreza durante a pandemia.",LeiliGermano,1
202,2022-02-21 23:54:05+00:00,1495909723136270336,"#BTSV released the current status of his full recovery from COVID-19. On the 21st, V posted on his personal Instagram, ""Thank you for your concern. Thanks to you, I got better.” 
🖇️ https://t.co/QQ4htJC7fN

Please tap the UP button at the bottom of the article. https://t.co/bwJy9HUZFz",TaehyungCanada,1
205,2022-02-21 23:54:00+00:00,1495909701741166596,"Fox's Neil Cavuto said a second case of Covid-19 nearly killed him - CNN
Read Full News here : https://t.co/WwTtluCWbe
#JusticeForHarsha 
#BheemlaNayakTrailer 
#MondayMotivation 
#saveshimogamuslims
https://t.co/7my0phmrth",current_capsule,1
207,2022-02-21 23:53:55+00:00,1495909680547303427,Glad Neil Cavuto has recovered from his 2nd bout w/ Covid-19. Everyone's health &amp; treatments for fighting disease is individualized &amp; a personal matter between themselves &amp; their doctors. NEIL OWES US NO EXPLANATIONS; HOWEVER appreciate his cantor w/ his struggles. God Bless him. https://t.co/SqrjNg9Jd4,GPatrickRep1,1
208,2022-02-21 23:53:54+00:00,1495909679817441280,"COVID-19 Daily Update:
February 21, 2022
New Cases: 1,345 (2,784,276 to date)
New Deaths: 21 (30,376 to date)
Current Hospitalizations: 1,310 https://t.co/miBM202IRB",lapublichealth,1
211,2022-02-21 23:53:44+00:00,1495909636804861955,"@conor_matchett Breaking: The British Medical Association, @TheBMA, says removing all restrictions, testing, sick pay and isolation payments in England is ""premature"", ""incredibly concerning"" and ""completely illogical"", adding that it ""neglects"" and ""fails"" those most at risk from Covid-19.",beith123,1
213,2022-02-21 23:53:35+00:00,1495909597160538114,Pls read this. It seems COVID 19 is not done with us.. Denmark’s status is alarming with 90% of cases now the new BA.2 variant the increase in cases and mortality is a steep curve. Get vaccinated and boosted,HedyFry,1
217,2022-02-21 23:53:31+00:00,1495909582987739137,COVID-19 numbers are starting to drop statewide | We hear from officials on how much numbers are dropping and if it's expected to stay that way on News 19 at 6,whnt,1
219,2022-02-21 23:53:30+00:00,1495909575908032512,"@ChristineBistel @RonaldNHughes @MDrelichman It is only for symptomatic students or families
“Starting this week, all kindergarten to Grade 12 students in B.C. will be offered a box of free rapid antigen tests to take home if they or their family members get symptoms of COVID-19”",lisapaigecogan,1
228,2022-02-21 23:53:12+00:00,1495909501869953026,"The government is taking a calculated risk, relying on guidance for all of us to self-isolate if we have COVID symptoms leaving vaccines to act as our only real defence against COVID-19, writes Sky's @aTomClarke https://t.co/dmotAy94fC",SkyNews,1
230,2022-02-21 23:53:06+00:00,1495909477844987906,"West Virginia, the nation and the world may be approaching “an important fork in the road” for pandemic response as the COVID-19 surge tied to the omicron variant seems to be coming to an end. https://t.co/5NeYUCErXN",heralddispatch,1
232,2022-02-21 23:53:04+00:00,1495909468781281281,"Well Shit! I Have Covid-19, Please Wish Be The Best!",YusefDaft,1
237,2022-02-21 23:52:55+00:00,1495909430583611400,So proud to get my certificate for COVID-19: Psychological First Aid on @FutureLearn: https://t.co/DcLCxFGnj1 #PsychologicalFirstAid,iamjackwells,1
239,2022-02-21 23:52:52+00:00,1495909419749683204,"@lfoley54 @suepb2 @Centrefuter @K62615 Ok, to convince me, show me the irrefutable proof that covid19 exists.",kondor_anna,1
243,2022-02-21 23:52:51+00:00,1495909412678123520,"Breaking: The British Medical Association, @TheBMA, says removing all restrictions, testing, sick pay and isolation payments in England is ""premature"", ""incredibly concerning"" and ""completely illogical"", adding that it ""neglects"" and ""fails"" those most at risk from Covid-19.",beith123,1
246,2022-02-21 23:52:45+00:00,1495909388804145153,"#Egypt’s Health Ministry: 2,003 #coronavirus new cases, 54 #COVID19 fatalities and 1,239 fully recov... via @24liveblog https://t.co/Xbe1ORPfGs",Zeinobia,1
250,2022-02-21 23:52:26+00:00,1495909309854715904,"Past few days was so hectic for me, and yes still now I am fighting this Covid-19 virus. And everytime I watched some clips of Isabel, I felt okay nakakagaan talga ng loob. Pero iba sa harapang nominasyun, if we, team Isabel could just go there ang give her our tightest hug.",Chappagetti12,1
258,2022-02-21 23:52:12+00:00,1495909248772952066,"Two years after pandemic, Lebanon succeeds in coping with COVID-19 https://t.co/ghdPrvVzAd #AndyVermautLovesArabNews #AndyVermautHumanRightsDefender https://t.co/E22Hish8bp",AndyVermaut,1
259,2022-02-21 23:52:11+00:00,1495909244448739329,"This is not #leadership - it is violating one’s own mandate. So, what is the penalty @mayorcantrell ?#NewOrleans @TulaneSPHTM #publichealth #COVID19 @NewOrleansEMS",Cthielst,1
261,2022-02-21 23:52:09+00:00,1495909237821779969,"@CDCgov #releasethedata. CDD, stop hiding Covid19 stats, no one trusts you because you are always hiding facts. We are not your children. You have lost our trust for not being truthful. We should not rely on foreign studies. Next time people may die.",mikebull7775,1
265,2022-02-21 23:52:02+00:00,1495909208621035522,WATCH: Bill Gates Continues To Push New World Order Rhetoric—What Are They Planning? https://t.co/iKVpBjW5dG #BillGates #covid-19 #NewWorldOrder,lyriclights1,1
267,2022-02-21 23:52:00+00:00,1495909198479122433,"#CovidEnElMundo En Reino Unido se podría levantar el requisito legal de autoaislarse después de contraer covid-19 como parte de un plan para ""vivir con Covid""

https://t.co/D4oJPeuskp",PdPagina,1
271,2022-02-21 23:51:52+00:00,1495909167172780032,Do people really want COVID-19 restrictions to end? https://t.co/tL3arIDpna,TheChestnutPost,1
273,2022-02-21 23:51:52+00:00,1495909166430498819,"@JohnWest_JAWS Johnson our mighty warrior who has slain the deadly virus. Kindly organising , that by Thursday this week we will all have our freedoms back. We have reached Nirvana, where we can learn to live or die with Covid 19.  Sad thing is people still believe &amp; trust all this lying shite",pipp100,1
276,2022-02-21 23:51:45+00:00,1495909138504642562,"Andy Vermaut shares:U.K. to Lift Remaining Covid-19 Curbs: Britain is set to become the first major European economy to ditch all restrictions and its free testing program, as the government seeks a return to normal despite recording around… https://t.co/sqiM6nZOtT Thank you! https://t.co/b2Btw8uPhc",AndyVermaut,1
280,2022-02-21 23:51:28+00:00,1495909064601214980,"NEW: @Lee_Health is now allowing people to visit #COVID19 patients at its hospitals. 

* Must wear mask 
* 1 visitor at a time 
* Must stay in room

Lee Health says they have the tools to track and manage the virus, allowing for this policy change. 

#SWFL https://t.co/bgnnbwf1F0",BayNews9Jeff,1
282,2022-02-21 23:51:25+00:00,1495909053956079619,@icepuck2 @LikeMike_05 @RapSheet Funny how you think he had to save it again when he didn't save it the first time. Funny how you think it failed the 2nd time. Only reason is it stop the 2nd time was due to Covid-19,SaintsKing1996,1
283,2022-02-21 23:51:23+00:00,1495909043394723840,"State health officials reported 51 new COVID-19 cases, as well as 1,563 new cases and 20 deaths statewide, on Monday.
https://t.co/2Aq2Ndfy58",ABC7Amarillo,1
284,2022-02-21 23:51:23+00:00,1495909043126542337,Glad to have contributed a chapter to this @ADB_HQ  book “The Sustainability of Asia’s Debt” w/ my @LowyInstitute colleague @RolandMRajah – we look at how the #Pacific can finance its post #COVID19 economic recovery amid precarious debt sustainability https://t.co/UbnwegZs8O,AlexandreDayant,1
293,2022-02-21 23:51:03+00:00,1495908961102577665,"State dashboards should prominently report hospitalizations &amp; deaths per day &amp;how many of those are vaccinated/boosted.If those #s show the vast number of #Covid19 deaths among those not vaccinated&amp; boosted,perhaps that info would drive #s of vaccinated up https://t.co/aWqz5QEceg",luvcats13,1
306,2022-02-21 23:50:29+00:00,1495908816478773254,"Potential for fourth Covid-19 vaccine dose is being 'very carefully monitored in real time,' Fauci says - CNN https://t.co/7QsOgOnjtv",cupcake0804,1
309,2022-02-21 23:50:16+00:00,1495908764066758657,"@peterdaou It's the height of immaturity, inability to cope, selfishness, and ignorance. I work Critical care. I now am resigned to the fact that many people have to become critically ill or have their own loved ones die of COVID-19 before they will learn or have empathy for others.",Llove2chat,1
310,2022-02-21 23:50:15+00:00,1495908759163523074,"@TheGameDayNFL Always thought a G League would work for NFL. But pitfalls remain. #COVID19 ended the latest iteration. AAF was also intended to be NFL development league, didn't work out. Hopefully cash flow projections are reality based because it's a lock any league will lose $, first season",SoundMoneyG,1
311,2022-02-21 23:50:13+00:00,1495908751764713474,Queensland has recorded 5583 new Covid-19 cases and five deaths as an end to mask requirements has been locked in. https://t.co/hkEtY2Bd5A,GCBulletin,1
319,2022-02-21 23:50:02+00:00,1495908706680287238,"The use of wastewater surveillance as a #publichealth surveillance tool is becoming a gamechanger in tackling the #COVID19 pandemic. 

Learn about innovation through wastewater-based epidemiology in #LatinAmerica &amp; the #Caribbean: https://t.co/RskXyx0qaR https://t.co/fRl7jdRNxe",WorldBankWater,1
323,2022-02-21 23:50:00+00:00,1495908695842033664,Good news😇 Yeji recovers from Covid19,rmcambal,1
326,2022-02-21 23:49:58+00:00,1495908686149173249,"Covid-19 Omicron outbreak: $140 million to support Māori and Pacific health providers - New Zeal
Read Full News here : https://t.co/WwTtluCWbe
#JusticeForHarsha 
#BheemlaNayakTrailer 
#MondayMotivation 
#saveshimogamuslims
https://t.co/TDFQEMm346",current_capsule,1
327,2022-02-21 23:49:53+00:00,1495908668734197763,"Information quickly got out of control! “…many people believe that mRNA technology is new, even though it’s existed for nearly 2 decades [causing fear]” Why Parents Still Hesitate to Vaccinate Their Children Against COVID-19 | Pediatrics | JAMA Network https://t.co/lDTp7qiQRF",ebrandt76,1
329,2022-02-21 23:49:49+00:00,1495908648110993409,Discussing with Miss almost 6 how the Tooth Fairy can visit us in quarantine (2 teeth are quite wobbly). Apparently there is a “virus suit” for fairies which covers wings  #COVID19,KJBar,1
331,2022-02-21 23:49:45+00:00,1495908633284124680,"Covid-19: NHS worker did not feel safe at work, inquest told https://t.co/5LCwKbKae0",TheLondonPages,1
344,2022-02-21 23:49:24+00:00,1495908543748210693,"The Queen has tested positive for COVID-19 but will continue working as she experiences mild, cold-like symptoms, Buckingham Palace has confirmed. https://t.co/RbEu0PDxUr",theworldobserve,1
346,2022-02-21 23:49:19+00:00,1495908522877460481,"Sending my prayers and best wishes for a full recovery to her Majesty, Queen Elizabeth 2nd.
And no,it's not Mr Laurie...
I'm a 57 year old American, who,like you, has also been grazed by Covid19 with a mild case a few weeks ago. Perseverance and strength to you!",obviousbear65,1
347,2022-02-21 23:49:18+00:00,1495908521296244740,@BaileyAce13 @DrEricDing Yeah being a single Mom is the biggest challenge ever but also the biggest reward! After decades in a stressful job I was diagnosed with PTSD &amp; anxiety. That was PRE-PANDEMIC. So now COVID19 to deal with too! Hypervigilant. I control what I can &amp; stay safe. My girl keeps me going https://t.co/27osYbR19U,ampincivero,1
356,2022-02-21 23:49:03+00:00,1495908459262640131,"Millions die every year

""with"" malaria
or ""from"" an infected mosquito's bite

It's ok there mostly all vulnerable (kids) and going to die anyway and probably not contributing to the economy so why care. arggggg

#COVID19 #malaria",mozziebytes,1
357,2022-02-21 23:49:03+00:00,1495908456708161544,"A partir de esta fecha, aquellos trabajadores que presenten síntomas de COVID-19 deberán acudir directamente a las Unidades de Medicina Familiar  para su valoración presencial y, en su caso, la expedición de su incapacidad temporal para el trabajo.
2/2",LaMultimedios,1
361,2022-02-21 23:49:00+00:00,1495908443458207745,"If you’ve been exposed to #COVID19 and are unvaccinated or not up to date with vaccines, stay home for 5 days. Get tested on day 5 after exposure or if symptoms develop during quarantine. Continue to wear a mask for 5 additional days. More: https://t.co/nRFL2JYQ3L https://t.co/vOtm34G5jJ",RIHEALTH,1
368,2022-02-21 23:48:33+00:00,1495908332279844872,"ATTN: Due to inclement weather, there are several closures &amp; delayed openings for COVID-19 testing &amp; vaccination sites this week. Tomorrow,  2/22, the Citadel &amp; Chapel Hills sites will open at 10 a.m. &amp; the Falcon testing site will be closed. Learn more: https://t.co/NI7yauur25 https://t.co/I9B68u49Nv",EPCPublicHealth,1
376,2022-02-21 23:48:19+00:00,1495908273702191106,@Dave07422325 @POTUS People don't feel that it is a free ride the people brought the COVID-19 in this world and they promised that they would help the people in the world but not they think it's getting better and I just watch the News and people are closing because the people don't go out to eat,Marie17249983,1
381,2022-02-21 23:48:15+00:00,1495908255238955015,"COVID-19 came with lots of drawbacks setting the world on a new digital pace - if you survived, don't be left out on the new move digitalize your business now with cheap domain, hosting, and custom development https://t.co/TD1MkJzXdQ https://t.co/4fKpDQEuTx",ujomorconsult,1
382,2022-02-21 23:48:12+00:00,1495908242383327239,Ha ha ha…frigging awesome! 👏🏻👏🏻👏🏻 Good to see something can stop the fool spewing his lies n BS even if only for a short time! #COVID19 #COVIDIOTS #ClivePalmer,kncdaniels,1
392,2022-02-21 23:47:55+00:00,1495908174045589504,"I think free lateral tests should continue for now, but as far as lifting all the restrictions, the PM is right on this one. If we don't do it, when? 🤔
I wonder if the supermarkets will get the message that the pandemic is heading for a endemic 🤔

#COVID19
#BackBorisJohnson",SimonCambridge,1
397,2022-02-21 23:47:50+00:00,1495908149576011778,CDC Isn't Publishing Large Portions of the COVID-19 Data It Collects. And this is the agency that the democrats want to use to expand gun control. Just say no https://t.co/Cex6I4EdP4,fboyj,1
401,2022-02-21 23:47:39+00:00,1495908104092979204,A pair of scientists from Hungary may have stumbled into more evidence supporting the theory that Covid-19 emerged from a laboratory. https://t.co/77kKqJpfZq via @WSJOpinion,dronechris75,1
403,2022-02-21 23:47:34+00:00,1495908083717271557,"Thank you @jkenney for lowering #COVID19 restrictions in #Alberta 
This morning we went out for breakfast, the resturant was packed full and everyone looked a lot happier then I've seen them for 2 years. Now get rid of masks. You are on the right track. #abpoli #ableg",brown_down,1
409,2022-02-21 23:47:22+00:00,1495908033742123008,"'Left to die': Infected and unemployed, a 6-person Hong Kong family's 2-week Covid-19 home quarantine ordeal - Hong Kong Free Press HKFP https://t.co/nFBMTw57uL",GabeShepperd,1
410,2022-02-21 23:47:21+00:00,1495908029711241216,Victoria is easing indoor mask-wearing and working from home rules and bringing back elective surgery in major changes to its COVID-19 pandemic health orders. Read more about the changes here: #COVID19VIC https://t.co/FUp3f3RXYB,TheNewDailyAu,1
417,2022-02-21 23:47:07+00:00,1495907969854500867,"The Philippines will recognize COVID-19 vaccine certificates of more countries, Malacañang said Monday as pandemic restrictions drastically eased worldwide.

#JuanBulletin https://t.co/hCl9juffqq",JuanBulletin,1
426,2022-02-21 23:46:54+00:00,1495907917786189826,"Covid-19, Reopening and Mask Mandate News: Live Updates - The New York Times
Read Full News here : https://t.co/WwTtluCWbe
#JusticeForHarsha 
#BheemlaNayakTrailer 
#MondayMotivation 
#saveshimogamuslims
https://t.co/o7c7qPzyMo",current_capsule,1
428,2022-02-21 23:46:40+00:00,1495907857493114885,"Iran returns donated vaccines because they were made in US https://t.co/a7IllArSVS via @Yahoo Want to thank Iran for blowing the whistle on the corruption of COVID19. 3 shots and Americans are starting to die from the shots. God, I am glad I did not have these death panel shots.",ArrowJSmith,1
430,2022-02-21 23:46:35+00:00,1495907837750489089,"Universities will fully start administering third COVID-19 vaccine shots to students and staff later this month, and the education ministry is calling on more universities to consider such vaccinations. https://t.co/uFJxC2fj5S",japantimes,1
440,2022-02-21 23:46:21+00:00,1495907777763549190,Study Says People With Mild COVID-19 Symptoms Could Suffer From Long-Term Neurological Damage https://t.co/VuE6SX6mb0,jjschoch,1
454,2022-02-21 23:46:00+00:00,1495907690756849668,"Les personnes âgées sont les plus exposées au Covid-19. Voilà pourquoi il est nécessaire et important de les faire vacciner contre le covid-19
@MinsanteCMR @pevcameroun @ccouspcameroun @Breakthrough_AR @USEmbYaounde @USAID 
#BloggersWithoutCovid19 https://t.co/niRPC1vRlc",MvengSuzanne,1
465,2022-02-21 23:45:41+00:00,1495907608632299520,Creative Biolabs Accelerates COVID-19 Antivirals Discovery and Evaluation https://t.co/mCy4XJZrrP,chhattisgarhjo1,1
466,2022-02-21 23:45:39+00:00,1495907599916716035,"Only 226 areas were under granular lockdown as of Monday, significantly fewer than in the past two weeks, as COVID-19 cases continued to decrease nationwide, according to Interior Secretary Eduardo Año. | @GabrielLaluINQ https://t.co/WBqjFRzYrE",inquirerdotnet,1
470,2022-02-21 23:45:32+00:00,1495907573823946753,@clarejdaly I'm sorry you're suffering&amp;our Government don't care.I can't believe not any of them can work out the cost to the NHS of more long Covid-19 clinics &amp; paying sickness benefits after they've inflicted suffering on more people. Surely free testing &amp; self isolation would be cheaper?,EDSAmanda,1
478,2022-02-21 23:45:18+00:00,1495907513442746371,"@avalancheavax @RagnarokMeta @0xfanfaron @avalabsofficial @EdC Hi, my name is willie , 
I got covid-19 so i need pill to save my life , thanks for all",phantuanhai4,1
480,2022-02-21 23:45:16+00:00,1495907506291449869,When Physicians Spread Unscientific Information About COVID-19 | Public Health | JAMA | JAMA Network.  Interesting read.  https://t.co/8rkE7AJEwt,cingolani_oscar,1
482,2022-02-21 23:45:12+00:00,1495907488809779200,"As of 4pm today, Cambridge is reporting:
9 newly reported COVID-19 cases.
0 newly reported COVID-19 deaths.
32.7 cases per 100,000 residents, 7-day moving average.
92% of residents with at least one vaccine dose and 76% fully vaccinated.
More at https://t.co/YgmNLKdgBK #CambMA https://t.co/Z4uaNu9nFw",CambMA,1
486,2022-02-21 23:45:04+00:00,1495907453984296968,"I feel like Miss Covid-19 herself was at the bristol pale waves gig at this point, so many people I know/friends of friends got it there 🥴",doeeyedjerry,1
